Pièce		Occurrence	Traduction anglaise	Type	Zone géographique	Continent	Coordonnées	ID	Remarque	Auteur	Titre	Genre	Représentation	Décennie	Publication	Décennie			
CORNEILLEP_ILLUSIONCOMIQUE	1	Tormes	Tormes	Fleuve	Péninsule Ibérique	Europe	41.29245, -6.47995	http://www.geonames.org/3107914		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Bordeaux	Bordeaux	Ville	France	Europe	44.84044, -0.5805	http://www.geonames.org/3031582		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	2	Perse	Persia	Pays	Orient	Asie	32, 53	http://www.geonames.org/130758		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Éthiopie	Ethiopia	Pays	Afrique	Afrique	9, 39.5	http://www.geonames.org/337996		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Japon	Japan	Pays	Extrême-Orient	Asie	35.68536, 139.75309	http://www.geonames.org/1861060		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Mexique	Mexico	Pays	Amérique	Amérique	23, -102	http://www.geonames.org/3996063		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Transylvanie	Transylvania	Région	Transylvanie	Europe	46.5, 25	http://www.geonames.org/664661		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Europe	Europa	Continent		Europe	48.69096, 9.14062	http://www.geonames.org/6255148		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Chine	China	Pays	Extrême-Orient	Asie	35, 105	http://www.geonames.org/1814991		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Égypte	Egypt	Pays	Afrique	Afrique	27, 30	http://www.geonames.org/357994		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Caire	Cairo	Ville	Afrique	Afrique	30.06263, 31.24967	http://www.geonames.org/360630		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Islande	Iceland	Pays	Islande	Europe	65, -18	http://www.geonames.org/2629691		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
